"Position","Const","Created","Modified","Description","Title","Original.Title","URL","Title.Type","IMDb.Rating","Runtime..mins.","Year","Genres","Num.Votes","Release.Date","Directors","Your.Rating","Date.Rated"
10952,"tt2372162","2023-07-17","2023-07-17","","Orange Is the New Black","Orange Is the New Black","https://www.imdb.com/title/tt2372162/","TV Series","8","60","2013","Comedy, Crime, Drama","330374","2013-07-11","",NA,NA
10953,"tt0179116","2023-09-24","2023-09-24","","But I'm a Cheerleader","But I'm a Cheerleader","https://www.imdb.com/title/tt0179116/","Movie","6.8","85","1999","Comedy, Drama, Romance","48096","2000-08-11","Jamie Babbit",NA,NA
10954,"tt0123865","2023-10-08","2023-10-08","","Gia","Gia","https://www.imdb.com/title/tt0123865/","TV Movie","6.9","120","1998","Biography, Drama, Romance","53166","1998-01-31","Michael Cristofer",NA,NA
10955,"tt1013753","2023-10-08","2023-10-08","","Milk","Milk","https://www.imdb.com/title/tt1013753/","Movie","7.5","128","2008","Biography, Drama, History","183483","2009-01-30","Gus Van Sant",NA,NA
10956,"tt0115736","2023-11-12","2023-11-12","","Bound","Bound","https://www.imdb.com/title/tt0115736/","Movie","7.3","109","1996","Crime, Thriller","64835","1996-10-04","Lana Wachowski, Lilly Wachowski",NA,NA
10957,"tt2278871","2023-12-30","2023-12-30","","Blue Is the Warmest Colour","La vie d'Adèle","https://www.imdb.com/title/tt2278871/","Movie","7.7","180","2013","Drama, Romance","169701","2013-10-09","Abdellatif Kechiche",NA,NA
10958,"tt5726616","2024-01-14","2024-01-14","","Call Me by Your Name","Call Me by Your Name","https://www.imdb.com/title/tt5726616/","Movie","7.8","132","2017","Drama, Romance","343356","2018-01-19","Luca Guadagnino",NA,NA
10959,"tt5164432","2024-02-24","2024-02-24","","Love, Simon","Love, Simon","https://www.imdb.com/title/tt5164432/","Movie","7.5","110","2018","Comedy, Drama, Romance","131265","2018-03-16","Greg Berlanti",NA,NA
10960,"tt17527468","2024-03-03","2024-03-03","","Bottoms","Bottoms","https://www.imdb.com/title/tt17527468/","Movie","6.7","91","2023","Comedy","53470","2024-02-14","Emma Seligman",NA,NA
10961,"tt11225626","2024-07-30","2024-07-30","","Am I OK?","Am I OK?","https://www.imdb.com/title/tt11225626/","Movie","6.1","86","2022","Comedy, Drama, Romance","12038","2024-06-06","Stephanie Allynne, Tig Notaro",NA,NA
10962,"tt13139228","2025-04-22","2025-04-22","","My Policeman","My Policeman","https://www.imdb.com/title/tt13139228/","Movie","6.6","113","2022","Drama, Romance","24707","2022-11-04","Michael Grandage",NA,NA
10963,"tt18559464","2025-04-22","2025-04-22","","My Old Ass","My Old Ass","https://www.imdb.com/title/tt18559464/","Movie","6.9","89","2024","Comedy, Drama, Romance","42645","2024-09-27","Megan Park",NA,NA
